scenario,T,TECH,TYPE,F,value
S0,T7424,FC,CO,electricity,1.0
S0,T7425,FC,CO,electricity,1.0
S0,T7426,FC,CO,electricity,1.0
S0,T7427,FC,CO,electricity,1.0
S0,T7428,FC,CO,electricity,1.0
S0,T7429,FC,CO,electricity,1.0
S0,T7430,FC,CO,electricity,1.0
S0,T7431,FC,CO,electricity,1.0
S0,T7432,FC,CO,electricity,1.0
S0,T7433,FC,CO,electricity,1.0
S0,T7434,FC,CO,electricity,1.0
S0,T7435,FC,CO,electricity,1.0
S0,T7436,FC,CO,electricity,1.0
S0,T7437,FC,CO,electricity,1.0
S0,T7438,FC,CO,electricity,1.0
S0,T7439,FC,CO,electricity,1.0
S0,T7440,FC,CO,electricity,1.0
S0,T7441,FC,CO,electricity,1.0
S0,T7442,FC,CO,electricity,1.0
S0,T7443,FC,CO,electricity,1.0
S0,T7444,FC,CO,electricity,1.0
S0,T7445,FC,CO,electricity,1.0
S0,T7446,FC,CO,electricity,1.0
S0,T7447,FC,CO,electricity,1.0
S0,T7448,FC,CO,electricity,1.0
S0,T7449,FC,CO,electricity,1.0
S0,T7450,FC,CO,electricity,1.0
S0,T7451,FC,CO,electricity,1.0
S0,T7452,FC,CO,electricity,1.0
S0,T7453,FC,CO,electricity,1.0
S0,T7454,FC,CO,electricity,1.0
S0,T7455,FC,CO,electricity,1.0
S0,T7456,FC,CO,electricity,1.0
S0,T7457,FC,CO,electricity,1.0
S0,T7458,FC,CO,electricity,1.0
S0,T7459,FC,CO,electricity,1.0
S0,T7460,FC,CO,electricity,1.0
S0,T7461,FC,CO,electricity,1.0
S0,T7462,FC,CO,electricity,1.0
S0,T7463,FC,CO,electricity,1.0
S0,T7464,FC,CO,electricity,1.0
S0,T7465,FC,CO,electricity,1.0
S0,T7466,FC,CO,electricity,1.0
S0,T7467,FC,CO,electricity,1.0
S0,T7468,FC,CO,electricity,1.0
S0,T7469,FC,CO,electricity,1.0
S0,T7470,FC,CO,electricity,1.0
S0,T7471,FC,CO,electricity,1.0
S0,T7472,FC,CO,electricity,1.0
