scenario,T,TECH,TYPE,F,value
S0,T0859,VF5,BP,municipal waste,85.0
S0,T0859,VF6,BP,municipal waste,112.0
S0,T0859,HOB_EL,HO,electricity,120.0
S0,T0859,HOB_NG,HO,natural gas,241.81875441890466
S0,T0859,HOB_WP,HO,wood pellets,33.0
S0,T0859,HOB_WW,HO,wood waste,14.0
S0,T0859,DEH,HO,excess heat,8.0
S0,T0859,HP_AIR,HO,electricity,3.248
S0,T0860,FC,CO,electricity,0.04329004329004329
S0,T0860,AMV1,BP,wood pellets,362.0
S0,T0860,AMV4,BP,wood chips,500.0
S0,T0860,ARC,BP,municipal waste,224.0
S0,T0860,ARGO5,BP,municipal waste,65.0
S0,T0860,ARGO6,BP,municipal waste,73.0
S0,T0860,KKV7,BP,wood chips,47.0
S0,T0860,KKV8,BP,wood chips,56.0
S0,T0860,VF5,BP,municipal waste,85.0
S0,T0860,VF6,BP,municipal waste,112.0
S0,T0860,HOB_EL,HO,electricity,120.0
S0,T0860,HOB_NG,HO,natural gas,186.5104825742445
S0,T0860,HOB_WP,HO,wood pellets,33.0
S0,T0860,HOB_WW,HO,wood waste,14.0
S0,T0860,DEH,HO,excess heat,8.0
S0,T0860,HP_AIR,HO,electricity,3.248
S0,T0861,FC,CO,electricity,0.04329004329004329
S0,T0861,AMV1,BP,wood pellets,362.0
S0,T0861,AMV4,BP,wood chips,500.0
S0,T0861,ARC,BP,municipal waste,224.0
S0,T0861,ARGO5,BP,municipal waste,65.0
S0,T0861,ARGO6,BP,municipal waste,73.0
S0,T0861,KKV7,BP,wood chips,47.0
S0,T0861,KKV8,BP,wood chips,56.0
S0,T0861,VF5,BP,municipal waste,85.0
S0,T0861,VF6,BP,municipal waste,112.0
S0,T0861,HOB_EL,HO,electricity,120.0
S0,T0861,HOB_NG,HO,natural gas,178.74349228298234
S0,T0861,HOB_WP,HO,wood pellets,33.0
S0,T0861,HOB_WW,HO,wood waste,14.0
S0,T0861,DEH,HO,excess heat,8.0
S0,T0861,HP_AIR,HO,electricity,3.248
S0,T0862,FC,CO,electricity,0.04329004329004329
S0,T0862,AMV1,BP,wood pellets,362.0
S0,T0862,AMV4,BP,wood chips,500.0
S0,T0862,ARC,BP,municipal waste,224.0
S0,T0862,ARGO5,BP,municipal waste,65.0
S0,T0862,ARGO6,BP,municipal waste,73.0
S0,T0862,KKV7,BP,wood chips,47.0
S0,T0862,KKV8,BP,wood chips,56.0
S0,T0862,VF5,BP,municipal waste,85.0
S0,T0862,VF6,BP,municipal waste,112.0
S0,T0862,HOB_EL,HO,electricity,120.0
S0,T0862,HOB_NG,HO,natural gas,138.87459907909883
S0,T0862,HOB_WP,HO,wood pellets,33.0
S0,T0862,HOB_WW,HO,wood waste,14.0
S0,T0862,DEH,HO,excess heat,8.0
S0,T0862,HP_AIR,HO,electricity,3.248
S0,T0863,FC,CO,electricity,0.04329004329004329
S0,T0863,AMV1,BP,wood pellets,362.0
S0,T0863,AMV4,BP,wood chips,500.0
S0,T0863,ARC,BP,municipal waste,224.0
S0,T0863,ARGO5,BP,municipal waste,65.0
S0,T0863,ARGO6,BP,municipal waste,73.0
S0,T0863,KKV7,BP,wood chips,47.0
S0,T0863,KKV8,BP,wood chips,56.0
S0,T0863,VF5,BP,municipal waste,85.0
S0,T0863,VF6,BP,municipal waste,112.0
S0,T0863,HOB_EL,HO,electricity,120.0
S0,T0863,HOB_NG,HO,natural gas,81.62457966162313
S0,T0863,HOB_WP,HO,wood pellets,33.0
S0,T0863,HOB_WW,HO,wood waste,14.0
S0,T0863,DEH,HO,excess heat,8.0
S0,T0863,HP_AIR,HO,electricity,3.248
S0,T0864,FC,CO,electricity,0.04329004329004329
S0,T0864,AMV1,BP,wood pellets,362.0
S0,T0864,AMV4,BP,wood chips,500.0
S0,T0864,ARC,BP,municipal waste,224.0
S0,T0864,ARGO5,BP,municipal waste,65.0
S0,T0864,ARGO6,BP,municipal waste,73.0
S0,T0864,KKV7,BP,wood chips,47.0
S0,T0864,KKV8,BP,wood chips,56.0
S0,T0864,VF5,BP,municipal waste,85.0
S0,T0864,VF6,BP,municipal waste,112.0
S0,T0864,HOB_EL,HO,electricity,120.0
S0,T0864,HOB_NG,HO,natural gas,41.81875441890468
S0,T0864,HOB_WP,HO,wood pellets,33.0
S0,T0864,HOB_WW,HO,wood waste,14.0
S0,T0864,DEH,HO,excess heat,8.0
S0,T0864,HP_AIR,HO,electricity,3.248
S0,T0865,FC,CO,electricity,0.04329004329004329
S0,T0865,AMV1,BP,wood pellets,362.0
S0,T0865,AMV4,BP,wood chips,500.0
S0,T0865,ARC,BP,municipal waste,224.0
